Query;NDCG
00001;0.37678338190166244
00002;0.38867738173397065
00003;0.29869428605988846
00004;0.2919540482609487
00005;0.23450712947060207
00006;0.3317000047934204
00007;0.34793256400120637
00008;0.0
00009;0.6651902077383568
00010;0.532807613980771
00011;0.6435402503394994
00012;0.0
00013;0.4238038972668339
00014;0.18990661102153622
00015;0.22900389380829547
00016;0.22665597428737508
00017;0.29141040299932375
00018;0.1802419981738096
00019;0.0543448725541329
00020;0.5690974476565409
00021;0.0
00022;0.12549953354822413
00023;0.1146457830516524
00024;0.029031856923910526
00025;0.059345743307423586
00026;0.4156777305076035
00027;0.6589847055645047
00028;0.178124338299872
00029;0.010404849343344697
00030;0.3457091521615949
00031;0.3613794783436686
00032;0.43902558607693015
00033;0.5248662894766633
00034;0.4708325073152349
00035;0.3897816887733313
00036;0.37890920082796464
00037;0.41210939363135146
00038;0.013891594835863897
00039;0.09480300532936534
00040;0.09974448676629011
00041;0.509117378213744
00042;0.6035292107454009
00043;0.31192940930368346
00044;0.17649577641583103
00045;0.53320200419129
00046;0.5454239244591423
00047;0.044230495439775766
00048;0.2575499678333043
00049;0.5021190395500824
00050;0.5773570939328128
00051;0.042046811220539874
00052;0.9268989817336446
00053;0.13727010351205302
00054;0.4528540563667343
00055;0.02430576590545682
00056;0.0877350124009004
00057;0.42528875747086153
00058;0.14300060505621073
00059;0.03670628260846882
00060;0.3234513855099575
00061;0.6429837035471604
00062;0.027940419541381285
00063;0.05358408400244639
00064;0.13633607984660417
00065;0.2061473187110887
00066;0.14498644515656153
00067;0.28032266138326295
00068;0.08733164010207563
00069;0.7280264460616672
00070;0.6761178221138127
00071;0.39197481984801297
00072;0.5647235478714933
00073;0.5557114858482448
00074;0.648212068108446
00075;0.4173463889351493
00076;0.5637488651820005
00077;0.10158648769482138
00078;0.0
00079;0.05124804857957718
00080;0.3188415021867261
00081;0.4775311440326644
00082;0.3828206915400668
00083;0.458403285925358
00084;0.5661327900166343
00085;0.0
00086;0.4258332275186222
00087;0.0939729084810284
00088;0.2879529491544897
00089;0.41291265787340264
00090;0.8366157457552661
00091;0.07239971787796393
00092;0.2679692193624395
00094;0.07060004885593303
00095;0.6746005683186196
00096;0.33798482999122653
00097;0.8882045311240934
00098;0.22124863773341302
00099;0.8429734263955395
00100;0.6744447620772445
Mean NDCG;0.3297909285733071
