Query;Average Precision
00001;0.366569420917247
00002;1.0
00003;0.5156926406926406
00004;0.12561327561327562
00005;0.7499667208313825
00006;0.5961904761904762
00007;0.8055555555555555
00008;0.0
00009;0.37892720306513406
00010;0.43719978755475714
00011;0.7225575041579082
00012;0.0
00013;0.7974358974358976
00014;0.4383333333333333
00015;0.9354365079365079
00016;0.6786781480962586
00017;0.792156862745098
00018;1.0
00019;0.06306567729276348
00020;0.8868647164638691
00021;0.0
00022;0.8737874779541446
00023;0.1606060606060606
00024;1.0
00025;0.3333333333333333
00026;0.9761904761904762
00027;1.0
00028;0.3506944444444444
00029;0.3333333333333333
00030;0.41168935231435233
00031;0.8441043083900226
00032;1.0
00033;0.8980679359626728
00034;0.8928571428571429
00035;0.5224406373474696
00036;0.398962148962149
00037;0.8308947571594121
00038;0.1625
00039;0.4708993294287412
00040;0.75
00041;0.3817793317793317
00042;0.9464285714285714
00043;0.8587409278601228
00044;0.6747130647130646
00045;0.6491452991452991
00046;1.0
00047;0.2
00048;0.25117772765388474
00049;0.9105519480519481
00050;0.9
00051;1.0
00052;1.0
00053;0.2111111111111111
00054;0.7979744767902663
00055;0.16666666666666666
00056;0.8333333333333333
00057;0.8409284832440708
00058;0.5378485711819044
00059;0.5
00060;1.0
00061;0.8160125722119067
00062;0.5775757575757575
00063;0.3333333333333333
00064;0.3666666666666667
00065;0.5192137243520643
00066;0.6388888888888888
00067;0.47632575757575757
00068;0.25
00069;0.8708333333333332
00070;0.8155594405594405
00071;0.7777777777777778
00072;0.5942285247432306
00073;0.4566267066267067
00074;0.8333333333333333
00075;0.6194805194805195
00076;0.7611111111111111
00077;1.0
00078;0.0
00079;0.16233766233766234
00080;0.75
00081;0.95
00082;1.0
00083;0.7
00084;0.7370760233918128
00085;0.0
00086;0.47643694571727535
00087;1.0
00088;1.0
00089;1.0
00090;0.7861886003899189
00091;0.602149702149702
00092;0.9305555555555556
00094;0.7
00095;0.9166666666666666
00096;1.0
00097;0.8041666666666667
00098;1.0
00099;1.0
00100;1.0
MAP;0.6503388813087931
