Query;NDCG
00001;0.3811901797813133
00002;0.26028628825600936
00003;0.36994057837852845
00004;0.46385344953746144
00005;0.2675758593341739
00006;0.4006245658965092
00007;0.4879036409836524
00008;0.0
00009;0.7111699954468957
00010;0.5425336545691736
00011;0.6560256572947405
00012;0.0
00013;0.45410036364622053
00014;0.3098562327685832
00015;0.3545045275188916
00016;0.2461905743271706
00017;0.314566709695654
00018;0.1802419981738096
00019;0.14418190058648214
00020;0.6815342427978648
00021;0.17321934853285018
00022;0.201673528243785
00023;0.02703632170725946
00024;0.17419114154346316
00025;0.2575359649042703
00026;0.5224912919854627
00027;0.6791725369605685
00028;0.23875530315195317
00029;0.08216808919216143
00030;0.42663668198668464
00031;0.4417500121921692
00032;0.4652643077204722
00033;0.5438140306647217
00034;0.5035981856678665
00035;0.39204200745185613
00036;0.38135085038542316
00037;0.5087143324034411
00038;0.43098700573033183
00039;0.1890325353101209
00040;0.10333536762953455
00041;0.5236376764982222
00042;0.5930994410712668
00043;0.3088030432288611
00044;0.23538287714101225
00045;0.5879655303706008
00046;0.5232701381690036
00047;0.16511838935123868
00048;0.32074824362235876
00049;0.6735635260669363
00050;0.6179688575797836
00051;0.08102687663985304
00052;0.9268989817336446
00053;0.14954627108009855
00054;0.5026572401770473
00055;0.047922585048466707
00056;0.2745982695547099
00057;0.45829565366165814
00058;0.29324776494834504
00059;0.09723917142283624
00060;0.18482934134324613
00061;0.6876435954046444
00062;0.02734504633086736
00063;0.19916901252981603
00064;0.42679717107468196
00065;0.3721845972574313
00066;0.1539277510362248
00067;0.42260823708165485
00068;0.3451413411512558
00069;0.7405689919980867
00070;0.7343251797523015
00071;0.4170534292547689
00072;0.5637488699938991
00073;0.7215757796861227
00074;0.7278267978047332
00075;0.4348531995882543
00076;0.5996807210825457
00077;0.13030900106249685
00078;0.0909745674883541
00079;0.10308922448573724
00080;0.33650518857191664
00081;0.48055691516288196
00082;0.6179553190086065
00083;0.4518325043982753
00084;0.5641041502444103
00085;0.176478275814023
00086;0.43675979404893794
00087;0.0939729084810284
00088;0.421180117130854
00089;0.6011290158216187
00090;0.8420704979880382
00091;0.09263574361602331
00092;0.3780533486693326
00094;0.3361248425536663
00095;0.6746005683186196
00096;0.4835469732528689
00097;0.8855537783164472
00098;0.20075715838203803
00099;0.8429734263955395
00100;0.6744447620772445
Mean NDCG;0.39419118124629243
