Query;DCG
00001;12.008465699433106
00002;1.761859507142915
00003;12.636955295760487
00004;8.860379856064391
00005;21.51619162406485
00006;8.319078594901196
00007;11.023925913450572
00008;0.0
00009;12.407366185801111
00010;21.149393926941357
00011;18.94952343045559
00012;0.0
00013;12.609723186567688
00014;18.512156571056927
00015;29.74542067937922
00016;25.111784608993375
00017;12.74459948023143
00018;4.0
00019;6.088449868817116
00020;42.044570217318075
00021;5.235190907769663
00022;11.695107458219855
00023;1.2797901240490774
00024;6.0
00025;11.444543693049983
00026;24.515309629796466
00027;12.416508275000202
00028;9.172188247136651
00029;3.9485477627179186
00030;10.373302553250209
00031;30.995410100698088
00032;11.821315434523953
00033;37.888841686235025
00034;26.576664110805044
00035;8.421236531356298
00036;5.806704561686682
00037;57.22895234363459
00038;19.59240395808011
00039;18.715594513561925
00040;8.734187620168713
00041;14.781285328732485
00042;26.93489963360227
00043;20.049903211090253
00044;34.68373090193343
00045;18.635933559634342
00046;16.981856754478738
00047;8.66504141246353
00048;14.355352263875526
00049;36.08260949729717
00050;24.409517159825473
00051;15.416508275000202
00052;8.0
00053;3.7971116277154437
00054;37.52617020312429
00055;1.4046353680405408
00056;6.25971917117759
00057;21.465912723286333
00058;29.035211907313784
00059;10.188282122311602
00060;7.45567799388351
00061;39.698368433571794
00062;2.1070565588890102
00063;7.433886992291328
00064;18.577086167494205
00065;31.65502910303759
00066;7.408454518872226
00067;8.728663287786798
00068;13.616534367806953
00069;23.107921642634793
00070;25.70535386872614
00071;4.297596420238124
00072;12.11698568130876
00073;25.77820250253044
00074;12.91245348019983
00075;11.517538358558292
00076;13.913870177409777
00077;10.26191604961963
00078;5.22134587592404
00079;4.146620510669639
00080;11.624947686768174
00081;14.944870965642048
00082;34.04585298551034
00083;12.69888479607719
00084;8.284087987385027
00085;5.377823036735217
00086;17.39404283526069
00087;4.0
00088;8.776019520568687
00089;14.748871743209028
00090;33.604477170737844
00091;16.414963698366755
00092;27.972011825395587
00094;17.65353898775675
00095;9.58532532593068
00096;11.445412464587145
00097;16.875590931378586
00098;5.130929753571458
00099;16.416508275000204
00100;16.547438028571662
Mean DCG;15.547752376655852
