Query;R-Precision
00001;0.2647058823529412
00002;0.2857142857142857
00003;0.13953488372093023
00004;0.0
00005;0.10687022900763359
00006;0.20833333333333334
00007;0.10714285714285714
00008;0.0
00009;0.2
00010;0.36
00011;0.45454545454545453
00012;0.0
00013;0.25
00014;0.09090909090909091
00015;0.09615384615384616
00016;0.07777777777777778
00017;0.09090909090909091
00018;0.047619047619047616
00019;0.045454545454545456
00020;0.41304347826086957
00021;0.0
00022;0.12857142857142856
00023;0.08571428571428572
00024;0.03225806451612903
00025;0.0392156862745098
00026;0.18181818181818182
00027;0.18181818181818182
00028;0.0784313725490196
00029;0.022727272727272728
00030;0.35294117647058826
00031;0.1206896551724138
00032;0.06666666666666667
00033;0.2631578947368421
00034;0.1794871794871795
00035;0.35714285714285715
00036;0.2222222222222222
00037;0.22448979591836735
00038;0.03773584905660377
00039;0.06172839506172839
00040;0.0136986301369863
00041;0.3333333333333333
00042;0.1702127659574468
00043;0.20408163265306123
00044;0.07142857142857142
00045;0.25
00046;0.2222222222222222
00047;0.016666666666666666
00048;0.26666666666666666
00049;0.2222222222222222
00050;0.2
00051;0.004149377593360996
00052;0.5
00053;0.13043478260869565
00054;0.24193548387096775
00055;0.041666666666666664
00056;0.0625
00057;0.37254901960784315
00058;0.09473684210526316
00059;0.013793103448275862
00060;0.058823529411764705
00061;0.2571428571428571
00062;0.034722222222222224
00063;0.02564102564102564
00064;0.04
00065;0.11702127659574468
00066;0.047619047619047616
00067;0.2857142857142857
00068;0.022222222222222223
00069;0.4
00070;0.4117647058823529
00071;0.3333333333333333
00072;0.46153846153846156
00073;0.3333333333333333
00074;0.2857142857142857
00075;0.2857142857142857
00076;0.29411764705882354
00077;0.012195121951219513
00078;0.0
00079;0.046511627906976744
00080;0.058823529411764705
00081;0.14285714285714285
00082;0.08064516129032258
00083;0.15625
00084;0.5625
00085;0.0
00086;0.3404255319148936
00087;0.02631578947368421
00088;0.07142857142857142
00089;0.17647058823529413
00090;0.5357142857142857
00091;0.04276315789473684
00092;0.07874015748031496
00094;0.046511627906976744
00095;0.3333333333333333
00096;0.08333333333333333
00097;0.45454545454545453
00098;0.2
00099;0.6
00100;0.2727272727272727
