Query;R-Precision
00001;0.2647058823529412
00002;0.2857142857142857
00003;0.2558139534883721
00004;0.2222222222222222
00005;0.1450381679389313
00006;0.2916666666666667
00007;0.25
00008;0.0
00009;0.3
00010;0.36
00011;0.45454545454545453
00012;0.0
00013;0.25
00014;0.18181818181818182
00015;0.16346153846153846
00016;0.09444444444444444
00017;0.12727272727272726
00018;0.047619047619047616
00019;0.0
00020;0.5217391304347826
00021;0.12
00022;0.18571428571428572
00023;0.02857142857142857
00024;0.03225806451612903
00025;0.17647058823529413
00026;0.2727272727272727
00027;0.18181818181818182
00028;0.09803921568627451
00029;0.06818181818181818
00030;0.35294117647058826
00031;0.1896551724137931
00032;0.1
00033;0.2982456140350877
00034;0.20512820512820512
00035;0.2857142857142857
00036;0.2222222222222222
00037;0.3163265306122449
00038;0.1509433962264151
00039;0.1111111111111111
00040;0.04794520547945205
00041;0.4
00042;0.19148936170212766
00043;0.20408163265306123
00044;0.10714285714285714
00045;0.3
00046;0.2222222222222222
00047;0.06666666666666667
00048;0.23333333333333334
00049;0.3611111111111111
00050;0.24
00051;0.012448132780082987
00052;0.5
00053;0.17391304347826086
00054;0.25806451612903225
00055;0.08333333333333333
00056;0.21875
00057;0.5098039215686274
00058;0.2631578947368421
00059;0.05517241379310345
00060;0.058823529411764705
00061;0.2857142857142857
00062;0.041666666666666664
00063;0.10256410256410256
00064;0.14
00065;0.24468085106382978
00066;0.07936507936507936
00067;0.2857142857142857
00068;0.13333333333333333
00069;0.4
00070;0.47058823529411764
00071;0.3333333333333333
00072;0.46153846153846156
00073;0.3333333333333333
00074;0.2857142857142857
00075;0.3333333333333333
00076;0.29411764705882354
00077;0.036585365853658534
00078;0.05194805194805195
00079;0.09302325581395349
00080;0.11764705882352941
00081;0.17857142857142858
00082;0.20967741935483872
00083;0.15625
00084;0.5625
00085;0.1935483870967742
00086;0.3404255319148936
00087;0.02631578947368421
00088;0.21428571428571427
00089;0.35294117647058826
00090;0.5
00091;0.05592105263157895
00092;0.11023622047244094
00094;0.13953488372093023
00095;0.3333333333333333
00096;0.16666666666666666
00097;0.36363636363636365
00098;0.2
00099;0.6
00100;0.2727272727272727
