Query;Average Precision
00001;0.35896825396825394
00002;0.5833333333333333
00003;0.40833587784807296
00004;0.26090250329380765
00005;0.7260789215612418
00006;0.4676279207335107
00007;0.6229548229548229
00008;0.0
00009;0.33821143014691396
00010;0.44338428088428083
00011;0.7111822269668737
00012;0.0
00013;0.46051534175657594
00014;0.44876158865289295
00015;0.8648291109947732
00016;0.5498221635026803
00017;0.5271775638154949
00018;1.0
00019;0.0879280172378692
00020;0.8650249838549634
00021;0.1425623993558776
00022;0.7018811858276741
00023;0.07142857142857142
00024;1.0
00025;0.6226217642007116
00026;0.7157407407407407
00027;1.0
00028;0.3871428571428571
00029;0.40277777777777773
00030;0.4099770817417876
00031;0.8326191782074134
00032;0.8095238095238094
00033;0.839553789555769
00034;0.8649621212121212
00035;0.47409247757073836
00036;0.415922619047619
00037;0.8108783872535911
00038;0.75
00039;0.6604200648380733
00040;0.33627924854152186
00041;0.430050505050505
00042;0.9192982456140351
00043;0.850926547795743
00044;0.6910077739025108
00045;0.6692934782608696
00046;0.8541666666666666
00047;0.2836996336996337
00048;0.24456751919562308
00049;0.944420536728229
00050;0.8523809523809525
00051;1.0
00052;1.0
00053;0.16858585858585856
00054;0.8036728606146175
00055;0.225
00056;0.48074892671165964
00057;0.7007455934941172
00058;0.5558766421530112
00059;0.813676948051948
00060;0.3611111111111111
00061;0.8171394584947217
00062;0.4252242926155969
00063;0.4409090909090909
00064;0.6950422593279738
00065;0.47873927060853344
00066;0.39691729323308267
00067;0.34469653153863683
00068;0.8972222222222221
00069;0.9484126984126983
00070;0.7857600732600732
00071;0.8095238095238094
00072;0.5858134920634921
00073;0.640801336830412
00074;0.611111111111111
00075;0.5832792207792208
00076;0.8009090909090908
00077;0.4476190476190476
00078;0.3923992673992674
00079;0.5317982456140351
00080;0.6458333333333333
00081;1.0
00082;0.9255208466746928
00083;0.6655122655122654
00084;0.7254761904761904
00085;0.31088362617774384
00086;0.4813765348281179
00087;1.0
00088;0.5277777777777778
00089;0.7029300520679831
00090;0.772794046803131
00091;0.5385512799167408
00092;0.9238721804511277
00094;0.8412698412698413
00095;0.9166666666666666
00096;0.75
00097;0.7664141414141414
00098;1.0
00099;1.0
00100;1.0
MAP;0.6257661496094139
